Outlet,Uncertainty_1
Outlet_1,"constant_flow_rate, 3"
Outlet_2,"constant_flow_rate, 0"
Outlet_3,"constant_flow_rate, 0"
Outlet_4,"constant_flow_rate, 0"
Outlet_5,"constant_flow_rate, 0"
Outlet_6,"constant_flow_rate, 0"
